text,category
"Stržená trolej ve čtvrtek odpoledne zastavila na dvě a půl hodiny provoz na železniční trati mezi Kolínem a Zábořím nad Labem na Kutnohorsku. Problémy kvůli tomu měla dálková doprava mezi Prahou, Kolínem a Českou Třebovou, sdělila mluvčí Správy železniční dopravní cesty Kateřina Šubová.",3
"Britská popová skupina Take That plánuje v letošním roce vydat výběrové album a v příštím roce chce vyrazit na světové turné. Nynější členové Gary Barlow, Howard Donald a Mark Owen to potvrdili v televizním pořadu The One Show.",4
"Kniha Falešný román Magdaleny Mintové se nesl v podobném duchu, poetice i postavách, jako Aristokratka Evžena Bočka. Obdobný mají i další osud. Druhý díl Falešný sňatek, který Mintová vydala, však stejně jako další Aristokratky slábne.",4
"Výstava obrazů českého malíře Alfonse Muchy Slovanská epopej v japonské metropoli Tokiu byla v loňském roce třetí nejnavštěvovanější výstavou výtvarného umění na světě. Uvedl to časopis The Art Newspaper, který sestavil žebříček nejpopulárnějších expozic podle průměrného denního počtu návštěvníků. ",4
"Rakousko-americký herec, sportovec a politik Arnold Schwarzenegger podstoupil ve čtvrtek několikahodinovou akutní operaci na otevřeném srdci. Informoval o tom server TMZ s odvoláním na zdroje blízké Schwarzeneggerovi. Stav sedmdesátiletého bývalého kalifornského guvernéra je podle nich stabilní.",4
"Litografie, akvarely nebo olejomalby malíře Jindřicha Vlčka (1885–1968) představuje do 27. května na výstavě Malíř ruských legií Galerie moderního umění v Hradci Králové.",4
"Portrét zázračného lékaře Pavla Koláře v podobě knihy-rozhovoru. Vášeň lásky malíře Kandinského. Detektivní příběhy, ale i připomínka veršů Václava Jamka i prózy Jane Austenové.",4
"Další celoplošná televizní stanice Prima Krimi začne vysílat v pondělí 2. dubna. Jde o kanál, který bude primárně zaměřen na kriminální filmy a seriály zahraniční provenience. ",4
" Skupiny Mirai a Poetika měly vyrazit na společné turné už loni na podzim. Tehdy ale došlo k tragickému úmrtí manželky bubeníka Šimona Bílého z Mirai, a tak se kapely rozhodly odehrát jen koncert v pražském Lucerna Music Baru a další odložit na letošní jaro. Momentálně už turné probíhá a ony za sebou mají čtyři vystoupení. ",4
"Něžná noc je skupina, jejímiž protagonisty jsou zpěváci a hudebníci Blanka Šrůmová a Jan Sahara Hedl. Když v roce 2016 vydala debutové album Neměj strach, zaujala jím tak, že obdržela nominaci na žánrovou cenu Anděl v kategorii Rock a pop. Nyní vychází její druhý počin Tak se věci mají. ",4
"Další příval kvalitních jmen oznámila Drive stage festivalu Colours of Ostrava, který proběhne od 18. do 21. července. ",4
"Nedávný výrok guvernéra ČNB a bývalého premiéra Jiřího Rusnoka o tom, že důchod by měl být jen pojistka, aby lidé nespadli do bídy, zdvihla některé politiky ze židle. „Mělo by se občanům zdůrazňovat, že státní důchod tu není od toho, že budete mít životní úroveň téměř nezměněnou, až půjdete do penze. Ten je tady od toho, abyste nespadli do bídy, a tak má fungovat,“ řekl Rusnok v ČT.",5
"O Velikonočním pondělí 2. dubna budou muset mít velké obchody nad 200 metrů čtverečních zavřeno. Pokud ale v parlamentu projde návrh lidovců, bude se to v příštím roce týkat i Velkého pátku.",5
"Spotřeba jehněčího masa stagnuje, průměrný Čech ho sní za rok méně než 0,4 kila, vyplývá z údajů statistiků a chovatelů. Většina lidí ho jí jen na Velikonoce, kdy ho do nabídky zařazuje většina řetězců. Jehněčí dovezené z Nového Zélandu přitom paradoxně vyjde levněji než české. Jehňata z Česka se vyvážejí například do Francie.",5
"Nespěchejme s přijetím eura. Náklady a dopady na kapsy občanů, do bilancí bank a hospodaření firem spojené s případným přijetím eura jsou totiž v současnosti zřetelně vyšší než vyčíslitelné přínosy. Takový je závěr analýzy Českomoravské konfederace odborových svazů (ČMKOS), na které se podílel tým ekonomů a dalších expertů.",5
"Britská banka HSBC v USA souhlasila s vyrovnáním ve sporu se soukromými investory. Na jeho základě má banka zaplatit pokutu 100 miliónů amerických dolarů (přes dva miliardy korun). Investoři banku žalovali kvůli údajné koluzi s dalšími bankami, se kterými měla manipulovat mezibankovní úrokovou sazbou LIBOR. Informoval o tom server Bloomberg.",5
Celkem 14 procent Čechů stráví letošní velikonoční svátky v práci. Dvě třetiny lidí budou čtyři dny volna trávit doma. Na chalupu vyrazí sedm procent Čechů a na cesty se vydá šest procent lidí. Velikonoce slaví 71 procent Čechů. Velikonoční koledu nakupuje 59 procent respondentů. Vyplývá to z průzkumu Rondo Data na vzorku 3600 respondentů.,5
"Bankám a spořitelnám v Česku loni stoupl souhrnný čistý zisk meziročně o dvě miliardy na 75,9 miliardy korun. Vyplývá to z dat, která zveřejnila Česká národní banka. Bilanční suma sektoru ke konci roku přesáhla sedm bilionů korun, což je meziroční nárůst více než bilión korun.",5
Čínské investice v Česku loni klesly o polovinu na necelých šest miliard korun. Vyplývá to z předběžných statistik České národní banky. Prezident Miloš Zeman přitom při návštěvě svého čínského protějšku v Praze před dvěma lety předpovídal roční příliv investic ve výši desítek až stovky miliard ročně.,5
"V úterý skončil ve švýcarské Basileji každoroční veletrh hodinek a šperků Baselworld. Stále se jedná o největší akci tohoto druhu, nicméně na první pohled bylo znát, že letos oproti minulým létům pokulhávala. Katastrofické scénáře o rychlém konci veletrhu se sice nenaplnily, ale organizátoři rozhodně mají na čem pracovat.",5
"Řidiči, kteří budou na Velikonoce cestovat po D1, musí počítat s novými omezeními. Ve čtvrtek a pátek začnou po zimě práce na dalších třech úsecích, dohromady se jich tak bude opravovat pět. Zároveň začnou opravy D11 u Prahy. ",5
"Značku Genesis, luxusní odnož Hyundai, si člověk spojí s komfortními sedany, které se snaží konkurovat Infiniti a nesměle pokukují i po slavném německém trojlístku Audi, BMW a Mercedes-Benz. Proto je velkým překvapením koncept budoucnosti s označením Essentia, který značka přivezla na právě probíhající newyorský autosalon.",12
"Rakouský ministr dopravy Norbert Hofer přišel s návrhem, že by se mohla na vybraných úsecích dálnic zvýšit rychlost na 140 km/h z dosud maximálně povolených 130 km/h. Cílem má být snížení emisí. ",12
"Pan-American Highway je nejdelší silniční síť světa. Její kvalita ale není po celé délce ideální, je proto nejlepší mít offroad, pokud se na ni chcete vydat. Pokud ho nemáte, musíte část obeplout lodí. Mini na tuto silnici aktuálně posílá tři Coopery S E Countryman All4 Panamericana, které mají jen minimum úprav - přídavné světlomety a rezervní kolo na střeše.",12
Maserati Levante se dočkalo osmiválcového benzínového motoru. Darovalo mu jej Ferrari a s parametry bezmála šesti stovek koní a točivého momentu 730 Nm bez problémů atakuje rychlost 300 km/h. Ve světové premiéře se ukázalo na právě probíhajícím autosalonu v New Yorku.,12
V New Yorku na autosalonu se představila nová generace modelu Subaru Forester. Bohužel jsme se nedočkali vzhledu blížícího se konceptům Viziv. Naopak se posouvá auto víc k univerzálnímu výrazu.,12
"Začátkem jara motoristé přezouvají ze zimních gum na letní a uklízejí do sklepa smetáčky, lopatky a škrabky. Není to ale všechno, co je vhodné v rámci servisu provést - zkontrolujte např. i klimatizaci, a když jsou kola sundaná, i brzdy.",12
"Volkswagen Atlas je obrovské, sedmimístné SUV s délkou přes pět metrů. Automobilka plánuje o něco menší, ale více emotivní variantu ve stylu pseudokupé. Zatím se ukazuje ve formě konceptu, sériová verze je ale „hotovou věcí”.",12
"Klasické černé londýnské taxíky se začínají vyrábět i jako elektromobily s prodlouženým dojezdem. Celkem mají na nabití a naplnění nádrže ujet přes 600 km. Výhodou je, že novinka vypadá jako klasický londýnský „black cab”.",12
"Mitsubishi L200 Barbarian SVP je pick-up s upravenými nárazníky, blatníky, střešními ližinami a s oranžovými doplňky, které jednomu připomenou autoburzy. Má být vyrobeno jen 250 kusů a vůz je už v prodeji ve Velké Británii.",12
"Jaguar pro své SUV F-Pace připravil verzi s písmeny SVR. Dle tradic automobilky jde o nejostřejší provedení, které Jaguar nabízí. Znamená to, že pod kapotou je umístěn pětilitrový osmiválec naladěný na 405 kW (550 k).",12
"V době doznívajícího skandálu kolem rozsáhlého úniku osobních dat uživatelů řeší společnost Facebook další potenciálně problematickou záležitost. Server BuzzFeed tento týden zveřejnil interní dokument sepsaný předloni viceprezidentem Andrewem Bosworthem, podle něhož má tato sociální síť maximalizovat množství uživatelů bez ohledu na to, zda umožňuje případnou kyberšikanu či přípravu teroristických útoků. Šéf Mark Zuckerberg i sám Bosworth se od textu distancovali.",13
"Společnost Seznam.cz tento týden spustila novou HbbTV aplikaci, prostřednictvím které mohou diváci skrze obrazovky svých televizorů přistupovat ke všem pořadům a seriálům z produkce české internetové jedničky. HbbTV aplikace je dostupná v celoplošném multiplexu 3 Českých Radiokomunikací. ",13
"Drtivá většina Čechů si pořizuje levnější chytré telefony s cenou do pěti tisíc korun. Přesto se největší popularitě těší značky Apple a Samsung, které bývají synonymem spíše pro prémiové modely. Vyplývá to z informací nákupního rádce Zboží.cz, který provozuje společnost Seznam.cz. ",13
"Americký softwarový gigant Microsoft rozdělí skupinu pro operační systém Windows a vytvoří dva technologické týmy, jeden pro uživatelskou oblast a druhý pro cloudové služby a umělou inteligenci. V této souvislosti společnost po 21 letech opustí výkonný viceprezident pro Windows a přístroje Terry Myerson. O dalších krocích urychlujících reorganizaci firmy ve čtvrtek informoval šéf společnosti Satya Nadella.",13
"Kauza týkající se zpomalování iPhonů vypukla už na konci loňského roku a vedení společnosti Apple si v souvislosti s ní stále ještě nemůže oddychnout. Jen ve Spojených státech čelí americký počítačový gigant desítkám žalob, několik dalších jich je navíc i v Evropě. Informoval o tom ve čtvrtek list The Wall Street Journal. ",13
"K neobvyklému kroku se rozhodla tradiční švýcarská hodinářská značka Alpina. Na crowdfundingovém webu Kickstarter spustila kampaň na outdoorové chytré hodinky s názvem AlpinerX, skoro jako by opatrně zkoušela, zda má v tomto segmentu šanci na úspěch. ",13
"Novou řadu herních sluchátek uvedla na trh společnost SteelSeries. Zajímavě vypadá především model Arctis Pro Wireless, který láká na bezdrátovou konektivitu u počítačů i televizní konzole PlayStation 4. Případní zájemci však musí počítat s tím, že je dvakrát tak drahý než základní kabelový model.",13
"Facebook představil nová pravidla, která mají uživatelům této sociální sítě nabídnout lepší kontrolu nad tím, jaká data o nich podnik uchovává. Jde o přímou reakci na skandál týkající se zneužití 50 miliónů účtů britskou společností Cambridge Analytica pro politickou kampaň. ",13
"K radikálnímu kroku se odhodlalo vedení společnosti Facebook. Po skandálu se zneužitím desítek miliónů uživatelských účtů na stejnojmenné sociální síti podnik vydal v noci na čtvrtek prohlášení, že ukončí spolupráci se všemi společnostmi, které se zabývají shromažďováním osobních údajů. Upozornila na to agentura Reuters. ",13
"Bitcoin připomínal prakticky celý minulý rok bez nadsázky zázračnou měnu. Když jeho hodnota nějak výrazněji klesla, rozpumpovalo to nadšení investorů, kteří jej začali ve velkém skupovat. A to katapultovalo jeho hodnotu do závratných výšin. Jak to ale nyní vypadá, nyní se majitelé těchto virtuálních mincí žádného zázraku nedočkají. ",13
"Místní mu neřeknou jinak než Copenhill. Komplex Amager Bakke, který v Kodani vzniká, má potenciál stát se jedním z největších turistických lákadel dánské metropole. Ačkoli má jít primárně o stavbu, která bude přetvářet odpad v energii, nabídne mnohem širší využití. Na střeše vyroste sjezdovka, chybět tu nebude ani lezecká stěna. Otevřít by se mělo už letos na podzim.",740
"Budete zdravit můj klobouk pověšený na tyči, vzkázal habsburský správce Albrecht Gessler (někdy se uvádí křestní jméno Hermann) švýcarským poddaným. V Altdorfu neuposlechl jediný – Vilém Tell a jeho synek. Tell si mohl vybrat: trest smrti pro oba, nebo sestřelit z kuše jablko na synově hlavě. Tak vznikla pověst o zázračném čarostřelci. ",740
"Asijské etnikum Bajau je jedním z nejpozoruhodnějších na světě. Členové této komunity, sídlící z velké části při pobřeží Bornea či Filipín, totiž jen zřídka kdy stoupnou na souš. Jejich životy se odehrávají na moři, ať už na loďkách, v kterých rybaří, nebo v domcích nad hladinou. Šance zcela opustit houpavé vody oceánu mají lidé z Bajau velmi mizivé kvůli tomu, že se jim nedostává řádného vzdělání. ",740
"Když se spojí láska k historii, ochota obětovat volný čas a manuální zručnost, vznikne fenomén, který ročně oslovuje tisíce lidí. Bohumínský bunkr Na Trati patří ve městě k unikátním atrakcím. Jeho další sezóna začíná už na Velký pátek a bude nabitá novinkami. ",740
"Sölden je jedním z nejnavštěvovanějších míst Rakouska — jezdí se tu Světový pohár, každý lichý rok se tu koná monstrózní akce Hannibal a natáčel se tu i film s Jamesem Bondem Spectre. Naši přízeň si získal sjezdovkami, které jsou při každé naší návštěvě perfektně upravené. ",740
"O víkendu se opětovně psala letecká historie. Austrálie a Spojené království dostaly první přímé spojení. Zhruba 17hodinový let se stal druhou nejdelší komerční linkou. Dálkové lety, které ani zdaleka nemusejí trvat tolik hodin, ale dokážou pěkně zamávat s lidským tělem. Bolení zubů nebo nadměrná plynatost jsou jen některé z efektů. Těžším je třeba hluboká žilní trombóza, píše server LadBible. ",740
"Velikonoce zcela ovládnou březnovo-dubnový prodloužený víkend. Vyrazte na jarmarky pořídit jarní dekorace, vyrobte si s dětmi pomlázku nebo si namalujte kraslice různými technikami. Připraveny jsou i speciální akce, například jízdy parními vlaky, na některých hradech zase vystoupí šermířské skupiny a ve skanzenech folklórní soubory. ",740
"Neplánované a do značné míry asi i nechtěné dobrodružství ve čtvrtek prožívají turisté, kteří jsou aktuálně v egyptských letoviscích Hurghada a Marsa Alam. Během čtvrtka se tudy totiž prohání silná písečná bouře, v tomto měsíci v Egyptě již druhá. Cestovní kanceláře ruší fakultativní výlety a turisté si tak „užijí” neplacený exotický zážitek. Komplikovaný byl i přílet nových turistů do destinace.",740
"V letním letovém řádu obnovují České aerolinie spojení mezi Prahou a hlavním městem Arménie Jerevanem. Linka bude sezónní, v provozu bude od 8. června do 7. září. Létat se bude v obou směrech dvakrát týdně a ceny zpátečních letenek budou začínat na 9261 korunách, uvedla společnost v tiskové zprávě. ",740
"Po pláži Maya Bay v Thajsku se turistům na část roku znepřístupní i další jihoasijské ostrovy. Například na Filipínách se chystají na půl roku zamezit turistům ve vstupu na ostrov Boracay. Tamní úřady tak chtějí chránit ekosystémy, které ničí oteplování moře, informovala agentura Reuters. ",740
"Čína ubezpečuje, že trosky její experimentální vesmírné stanice Tchien-kung 1 (Nebeský palác 1), které podle nejnovějších odhadů spadnou na Zemi v noci na pondělí, nikomu neublíží. Bude to jako nádherný roj meteoritů, které shoří ještě v atmosféře, oznámil v pátek podle agentury AFP čínský kosmický úřad. ",986
"Přihláška na vysokou školu na poslední chvíli nemusí být sázkou do loterie. Pokud někomu uteče termín, může uvažovat buď o hledání práce, nebo se zkusit podívat tam, kde jsou dveře pro uchazeče ještě otevřené. Některé univerzity měly jako deadline pro podání přihlášky 28. únor, spousta z nich včetně několika fakult Univerzity Karlovy a ČVUT v Praze či Univerzity Pardubice má jako poslední termín tuto sobotu 31. března. Na střední školy skončilo podávání přihlášek již 1. března.",986
"Pomoci s hodnocením přírodních rizik ve vysokých horách může studie, kterou vypracoval mezinárodní vědecký tým s přispěním odborníků z Akademie věd ČR. Jejich manuál se zaměřuje na nebezpečí spjatá s horskými ledovci na místech s trvale zmrzlou půdou. V takových oblastech mohou klimatické změny vyvolat sesuvy půdy či spustit skalní laviny, které vedou k povodním.",986
"Do projektu Nenech to být, který dává dětem možnost na webu anonymně upozornit na šikanu mezi spolužáky, se za rok jeho fungování zapojilo 846 škol. Žáci poslali již 978 oznámení, jak informovala mediální zástupkyně projektu Regina Jandová. Projekt loni spustili studenti z Gymnázia Brno, Vídeňská, podpořilo jej ministerstvo školství i Linka bezpečí.",986
"Skupina techniků z pražského ČVUT, chemiků z Ústavu analytické chemie Akademie věd ČR a biochemiků brněnské Masarykovy univerzity pracuje na vývoji lepších diagnostických přístrojů. Vědci z katedry řídicí techniky Fakulty elektrotechnické ČVUT přispěli do mezioborového výzkumného projektu Biocentex speciální mikropinzetou, která umožní manipulovat s živými buňkami. V budoucnu tak můžeme očekávat přesnější krevní testy a předvídání nemocí.",986
"V posledních letech vzrostl počet učitelů v mateřských a základních školách, kde se kvůli demografickému vývoji v mladších ročnících navýšil počet dětí. Naopak ubylo pedagogů ve školách středních a vyšších odborných, ve kterých je nyní i méně žáků. Celkem je v ČR asi 158 tisíc učitelů v regionálním školství. Vyplývá to ze statistik ministerstva školství.",986
"Australským vědcům se podařilo objevit pozůstatky 2500 let staré egyptské mumie. Mohlo by to podle nich vnést světlo do dalšího bádání o starověkém Egyptě, jelikož kompletní a nepoškozené mumie se podrobně nestudují. Zajímavostí je, že Sydneyská univerzita získala rakev s mumií před 150 lety, avšak dosud ji akademici pokládali za prázdnou. Po otevření víka tak nemohli uvěřit vlastním očím.",986
"Přesně před 426 lety, 28. března 1592, se narodil „učitel národů“ Jan Ámos Komenský. Na jeho počest se v České republice slaví Den učitelů. Tento den udělí ministr školství v demisi Robert Plaga (ANO) v Senátu Medaile MŠMT vynikajícím pedagogům. Laureáti budou oceněni za významnou pedagogickou, výchovnou, vědeckou či uměleckou práci.",986
"První čínská experimentální družice Tchien-kung 1 (Nebeský palác) má dopadnout na Zemi a většinově shořet v atmosféře během následujících dní. Vyplývá to z nejnovějšího odhadu Evropské kosmické agentury (ESA), která její pád monitoruje. Novinky již informovaly, že Čína nad svým satelitem zřejmě dávno ztratila kontrolu. Podle ESA má dopadnout někdy mezi 30. březnem a 2. dubnem.",986
"Část studentů Vysoké školy ekonomické (VŠE) v Praze sepsala petici proti přednáškám celé vlády ANO v demisi na půdě Národohospodářské fakulty, které se mají začít konat po Velikonocích. Obávají se, že jim bude v rámci nového kurzu prezentován jen jeden názorový proud, což je podle nich nepřípustné, zvlášť několik měsíců před podzimními volbami. Vedení školy i sama vláda se snaží obavy rozptýlit.",986
